Image,F1,Jaccard,Recall,Precision
803.png,0.06737787759685569,0.034863451481696686,0.034863451481696686,1.0
1392.png,0.9657039711191335,0.9336823734729494,0.9709618874773139,0.9605026929982047
298.png,0.0,0.0,0.0,0.0
3005.png,0.8064024390243902,0.6756066411238825,0.7767988252569751,0.838351822503962
1239.png,0.7613104524180968,0.6146095717884131,0.6224489795918368,0.9799196787148594
2839.png,0.0,0.0,0.0,0.0
2605.png,0.6491414034343863,0.4805398618957941,0.8708759954493743,0.517404528556945
1529.png,0.9305816135084427,0.8701754385964913,0.9429657794676806,0.9185185185185185
574.png,0.8808446455505279,0.7870619946091644,0.9940425531914894,0.7907921462423833
2574.png,0.7968810916179336,0.662346079066753,0.7024054982817869,0.9207207207207208
1702.png,0.9063670411985019,0.8287671232876712,0.983739837398374,0.8402777777777778
1732.png,0.8741776315789473,0.7764791818845873,0.9971857410881801,0.7781844802342606
1266.png,0.0,0.0,0.0,0.0
1808.png,0.7095588235294117,0.5498575498575499,1.0,0.5498575498575499
1085.png,0.41721854304635764,0.26359832635983266,0.26359832635983266,1.0
653.png,0.9787975602672088,0.9584755403868032,0.9739884393063584,0.9836544074722708
2791.png,0.5452520189362294,0.37480857580398164,0.3812305295950156,0.956989247311828
1187.png,0.9345870809484874,0.8772064466615502,0.883307573415765,0.9921875
2744.png,0.8270756213643574,0.7051397655545536,0.8095238095238095,0.8454054054054054
1023.png,0.9458071876782657,0.8971861471861472,0.9001085776330076,0.9963942307692307
1667.png,0.0,0.0,0.0,0.0
904.png,0.9551451187335092,0.9141414141414141,0.980498374864572,0.9310699588477366
701.png,0.8241494968854816,0.7008964955175224,0.7031888798037612,0.9953703703703703
381.png,0.9554655870445344,0.9147286821705426,0.9455128205128205,0.9656301145662848
478.png,0.0,0.0,0.0,0.0
1354.png,0.9527767283717415,0.9098124098124099,0.9655436447166922,0.9403430275913497
2701.png,0.9637681159420289,0.9300699300699301,0.9812206572769953,0.946925566343042
1689.png,0.9145569620253164,0.8425655976676385,0.8512518409425626,0.9880341880341881
2672.png,0.8801629931468791,0.7859741978167384,0.8027027027027027,0.974169741697417
2524.png,0.5155709342560554,0.3473193473193473,0.7953736654804271,0.38139931740614336
2026.png,0.0,0.0,0.0,0.0
2356.png,0.9114717816303947,0.8373432734666215,0.8828152911754198,0.9420510865421273
527.png,0.9008042895442359,0.8195121951219512,0.9960474308300395,0.8221859706362153
1142.png,0.9472259810554803,0.8997429305912596,0.9887005649717514,0.9090909090909091
1562.png,0.8600288600288599,0.7544303797468355,0.9834983498349835,0.764102564102564
1668.png,0.7703488372093023,0.6264775413711584,0.6973684210526315,0.8603896103896104
